Species,Sex,Abd_length
AL,M,0.0463
AL,F,0.0491
AL,M,0.0509
AL,M,0.0512
AG,M,0.0544
AL,UNK,0.0544
AL,F,0.055
AL,F,0.0557
AL,F,0.0564
AL,F,0.0568
AL,M,0.0569
AL,M,0.0578
AL,M,0.0579
AL,F,0.0584
AL,M,0.0586
AG,F,0.0594
AL,M,0.0595
AL,M,0.0598
AG,M,0.0599
AL,M,0.0599
AG,F,0.0601
AG,M,0.0603
AL,M,0.0625
AL,F,0.0625
AL,F,0.0632
AL,M,0.0634
AL,F,0.0634
AL,F,0.0636
AG,M,0.0637
AL,UNK,0.0638
AL,M,0.0638
AL,F,0.064
CQ,M,0.064
AL,M,0.0642
AL,M,0.0648
AL,M,0.065
AL,F,0.065
AL,M,0.0653
AL,F,0.0654
AL,F,0.0656
AL,F,0.0657
AL,M,0.0658
AL,F,0.066
AL,M,0.0665
AL,F,0.0665
AL,F,0.0668
AL,M,0.067
AL,M,0.0671
AL,M,0.0671
AL,M,0.0672
AG,M,0.0673
AL,F,0.0675
AL,M,0.0676
AL,M,0.0676
AL,M,0.0682
AL,M,0.0682
AL,M,0.0682
AL,M,0.0683
AL,UNK,0.0683
UNK,F,0.0683
AL,M,0.0687
AL,M,0.0689
AL,M,0.069
AL,M,0.0692
AL,F,0.0693
AL,F,0.0694
AL,M,0.0694
AL,M,0.0697
AL,F,0.0697
AL,F,0.0699
AL,F,0.0701
AL,F,0.0701
AL,M,0.0701
AL,M,0.0702
AG,M,0.0704
AL,F,0.0704
AL,M,0.0704
AL,F,0.0706
AG,M,0.0708
AL,F,0.0708
AL,M,0.0708
AL,F,0.0709
AL,M,0.071
AL,M,0.0711
AL,M,0.0711
AL,M,0.0712
AL,M,0.0713
AL,M,0.0714
AL,F,0.0714
AL,M,0.0714
AL,M,0.0715
AL,M,0.0716
AL,M,0.0717
AL,M,0.0718
AG,M,0.072
AL,F,0.0721
CQ,M,0.0721
AL,M,0.0724
AL,M,0.0724
AG,F,0.0725
AL,M,0.0726
AL,UNK,0.0727
AL,F,0.0728
AL,M,0.073
AL,M,0.073
AL,F,0.073
AG,M,0.0731
AL,F,0.0731
AL,UNK,0.0731
AL,M,0.0732
AL,M,0.0732
AL,M,0.0733
AL,M,0.0733
AL,UNK,0.0734
AL,F,0.0734
AL,M,0.0735
AL,M,0.0735
AL,M,0.0735
AL,M,0.0737
AL,F,0.0738
AL,M,0.0738
AL,M,0.0739
AG,M,0.074
AL,M,0.074
AG,M,0.0741
AL,F,0.0741
AL,F,0.0742
AG,M,0.0744
AG,F,0.0744
AL,F,0.0744
AL,M,0.0744
AL,F,0.0745
AL,M,0.0745
AL,F,0.0746
AL,M,0.0747
AL,F,0.0747
AL,F,0.0748
AG,M,0.0749
AL,M,0.0751
AL,F,0.0751
AL,F,0.0751
AG,F,0.0752
AL,F,0.0752
AL,M,0.0752
AL,M,0.0753
AL,F,0.0753
AL,M,0.0753
AL,F,0.0754
AL,F,0.0755
AL,M,0.0755
AL,M,0.0757
AL,F,0.0757
AL,F,0.0757
AL,M,0.0757
AL,F,0.0758
AG,M,0.0761
AL,F,0.0762
AL,F,0.0763
AL,M,0.0764
AL,F,0.0765
AL,F,0.0767
AG,M,0.0769
AL,F,0.0769
AL,M,0.0769
AG,F,0.077
UNK,UNK,0.077
AL,F,0.0771
AL,M,0.0771
AL,M,0.0771
AL,M,0.0771
AG,M,0.0772
AL,M,0.0772
AG,F,0.0773
AL,UNK,0.0773
AL,M,0.0773
AL,M,0.0774
AL,M,0.0774
AL,M,0.0775
AL,F,0.0775
AL,M,0.0776
AL,F,0.0776
AL,M,0.0777
AL,M,0.0778
AG,M,0.0779
AL,M,0.0779
AL,M,0.0779
AL,M,0.078
AL,M,0.078
AL,F,0.0782
AL,F,0.0782
AL,F,0.0783
AL,M,0.0783
AL,F,0.0784
AG,F,0.0785
AL,M,0.0785
AL,M,0.0785
AG,F,0.0786
AL,M,0.0786
AL,F,0.0786
AL,M,0.0787
AL,M,0.0787
AL,F,0.0787
AL,M,0.0787
AL,F,0.0787
AL,F,0.0788
AL,F,0.0788
AL,F,0.0789
AL,F,0.079
AL,F,0.0791
AL,F,0.0791
AG,F,0.0792
AG,M,0.0792
AL,M,0.0792
AL,M,0.0792
AL,M,0.0792
AG,M,0.0793
AL,F,0.0793
AL,M,0.0793
AL,M,0.0794
AL,M,0.0794
AL,M,0.0794
AL,F,0.0794
AG,M,0.0795
AL,M,0.0795
AL,M,0.0796
AL,M,0.0796
AL,M,0.0797
AL,M,0.0797
AL,F,0.0797
AL,F,0.0797
AL,F,0.0797
AG,M,0.0798
AL,F,0.0798
AL,M,0.0798
AL,M,0.0798
AL,F,0.08
AL,F,0.0801
AL,M,0.0801
AL,M,0.0802
AL,F,0.0802
AL,M,0.0802
AL,M,0.0804
AL,M,0.0804
AL,F,0.0805
AL,F,0.0805
AL,M,0.0806
AL,M,0.0806
AL,M,0.0806
AL,M,0.0806
AL,M,0.0806
AG,M,0.0807
AL,M,0.0807
AL,M,0.0807
AG,F,0.0808
AL,F,0.0808
AL,F,0.0808
AL,M,0.0808
AG,M,0.0809
AL,M,0.0809
AL,F,0.0809
AL,M,0.0809
AL,F,0.081
AL,F,0.081
AL,F,0.081
AL,M,0.0811
AL,F,0.0811
AL,M,0.0811
AL,M,0.0811
AL,F,0.0812
AL,M,0.0812
AL,F,0.0812
AL,F,0.0813
AG,M,0.0814
AL,M,0.0814
AL,F,0.0814
AG,F,0.0815
AL,M,0.0815
AL,M,0.0815
AL,M,0.0815
AL,M,0.0816
AL,M,0.0816
AL,M,0.0816
AG,F,0.0817
AL,M,0.0817
AL,M,0.0817
AG,F,0.0818
AL,F,0.0818
AL,F,0.0818
AL,M,0.0818
AL,F,0.0819
AL,M,0.0819
AL,M,0.082
AL,F,0.0821
AL,M,0.0821
AL,F,0.0821
AG,M,0.0822
AG,F,0.0822
AG,M,0.0822
AL,M,0.0822
AL,M,0.0822
AL,F,0.0823
AG,M,0.0824
AL,M,0.0824
AL,M,0.0824
AL,M,0.0824
AL,F,0.0825
AL,F,0.0825
AG,F,0.0826
AL,F,0.0826
AG,M,0.0827
AL,F,0.0827
AL,M,0.0827
AG,M,0.0828
AG,M,0.0829
AL,F,0.0829
AL,M,0.0829
AL,M,0.0829
AL,F,0.0829
AL,M,0.083
AL,F,0.083
AL,F,0.083
AL,M,0.083
